Gene_Id	temozolomide_HEPG2_6 h_10 µM
KDELR2	-0.431945503
RAB31	1.139223337
B4GAT1	0.463949263
PAPD7	-0.262132227
UBE2C	-0.283489615
DUSP14	-0.006604351
TOPBP1	-0.279996395
PRSS23	0.346826553
PWP1	0.221846446
PKIG	0.8500067
CORO1A	0.472661346
LSM6	-0.360472262
PSIP1	0.528254986
SLC2A6	0.002146804
NISCH	-0.03202641
CHEK2	-0.100020677
PRAF2	-0.239142761
POLG2	0.797331095
CHP1	-0.047788516
PNKP	-0.543036819
ECD	0.113946833
DDX42	-0.464767694
TWF2	-0.423981845
CASC3	0.662785411
COG2	-0.290353268
ATF5	0.069868311
MTF2	0.187734455
PUF60	0.47535342
RAB11FIP2	0.347871214
CLSTN1	-0.134300545
FOXJ3	0.252389967
KIAA0907	-0.050630316
EPN2	0.522633076
SACM1L	0.527739942
ATF6	0.137242436
RPIA	-0.897182524
RAB21	-0.018056393
SPEN	-0.631337047
FBXO21	0.544972241
RBM34	0.496671617
WDTC1	-0.392599761
XPO7	0.546011448
TBC1D9B	-0.001248769
RRP1B	0.369037986
MYCBP2	0.529023767
CDK19	0.24193503
GPATCH8	0.200657338
MAST2	-1.715105653
DCUN1D4	0.000685316
FCHO1	0.020764314
SNX13	0.587185562
ATP11B	-0.907276511
JMJD6	6.838499546
RRS1	-0.686032832
RRP12	0.229003683
SYNE2	-0.214665204
PDS5A	-0.756214082
CAMSAP2	0.330453157
ATMIN	0.155817866
TRIM2	0.77126199
KIAA1033	-0.649472713
USP22	-0.132638499
WDR7	0.323424339
JADE2	-0.197861642
ARHGEF12	0.325193435
PPP1R13B	2.772831917
RRP8	0.695694327
NUDCD3	1.09487474
SIRT3	-0.045661438
SLC35A3	-0.261491477
ICMT	0.103538737
MACF1	0.420647681
SUZ12	0.242744923
KAT6B	0.475007027
NNT	-0.74192977
ADAT1	-0.660517097
TMEM50A	0.566255212
KLHDC2	-0.111690134
ACOT9	-0.017406479
SSBP2	-0.386515796
NUP62	-1.439740777
ARFIP2	-0.299963564
LSM5	0.067296162
PLA2G15	-0.431458652
TMEM2	0.588018537
ZNF318	-0.546921134
FBXO7	-0.773546219
SPDEF	-0.645258367
BAMBI	-0.198485404
BACE2	0.721427202
COG4	-0.442000806
MPC2	0.477008313
CLIC4	-0.556129694
C2CD2	0.333950639
TIPARP	0.868347526
TSKU	0.042150464
RNF167	0.339958936
LRP10	-0.157281756
ZNF451	0.277828455
SENP6	-0.361192048
RAI14	-3.466292858
KIF1BP	-0.418332368
TES	-0.18502152
PHGDH	-0.36480996
MYCBP	3.277756929
CHIC2	-0.469188392
TIMM9	0.034965359
AKAP8L	0.198088646
ATP2C1	0.201008946
TRAPPC3	0.378066897
ATP5S	0.702046692
TNFRSF21	-0.711638927
SESN1	0.108507007
HTATSF1	-1.057944179
TMEM97	0.12607348
BZW2	0.271334231
CHMP4A	-0.811618805
GTPBP8	-0.06736654
DNAJC15	1.16469419
PACSIN3	0.265308738
RBM15B	-0.093532808
HOOK2	0.663743615
SNX11	0.064615101
TIMM22	-0.031534746
NENF	0.823679686
UBQLN2	-0.200471684
ERO1A	-0.581730664
DNTTIP2	0.35430631
PIK3R4	0.584834099
HDGFRP3	0.557865977
COPS7A	0.345449358
NSDHL	-0.378043562
HEBP1	0.040603127
MTERF3	-0.726820946
AMDHD2	0.047194883
ISOC1	0.67516309
MRPS16	-1.382063985
FIS1	-0.406701267
GOLT1B	-1.634983301
GLOD4	0.409508795
GMNN	0.424433053
LAP3	0.20818615
NOSIP	0.698113203
DERA	-0.261624932
SCCPDH	-0.161941588
MRPS2	-0.648549616
VPS28	-0.147192866
HSD17B11	-1.072278857
NUSAP1	-0.399106264
SCAND1	0.197166368
CD320	0.560850978
NGRN	-0.117978193
SNX7	-0.147231609
ATP6V1D	0.642716646
ZNF589	-0.440360963
PRKAG2	-0.423045844
UBE2J1	0.985662997
EVL	0.521123767
HACD3	0.061562028
UFM1	0.501791954
LSR	-0.975721359
DHRS7	-0.098944113
CAB39	-0.091618344
ARID4B	0.834310532
NUDT9	-0.013419054
CYCS	0.362979352
TERF2IP	0.147826076
GFOD1	-0.080386296
KCTD5	-0.697605968
TMCO1	-0.360394984
DHX29	0.240999326
EXOSC4	0.732921481
DDIT4	0.285514712
PAF1	-0.38345927
P4HTM	-0.118471578
SLC35F2	-0.18871361
ZNF586	0.329174995
FBXL12	-0.779757917
TEX10	-0.415175229
YTHDF1	-1.128012896
TXNL4B	-1.038603544
HERC6	0.025611728
PIH1D1	-0.851783812
PPP2R3C	0.083554156
FKBP14	-0.406489789
CDCA4	0.969560981
PLEKHJ1	0.380550623
HEATR1	0.628850937
ANO10	0.039889101
UBR7	0.889685571
FAIM	-0.266766906
ADI1	0.756568253
ABCF3	0.113924444
ENOSF1	1.199112892
LRRC16A	0.406157255
ANKRD10	-0.824911058
STAP2	-1.058065772
IARS2	0.127921477
NUP133	0.492412597
CNDP2	-0.350687861
FAM63A	-0.999972641
KDM3A	0.538672566
PECR	-0.554579914
EAPP	0.42076987
CISD1	0.318061471
ZNF395	0.591433644
KLHL9	0.130226731
NPDC1	-0.671277463
TM9SF3	0.752299488
PAK6	0.120258704
DUSP22	-0.217866063
ADCK3	-1.342394829
CIAPIN1	-0.297747016
PLSCR3	-0.236021668
SCYL3	0.404936671
LYRM1	0.632083714
ZMIZ1	0.504257441
MCOLN1	0.177215323
THAP11	0.226169348
ABHD6	-0.047202971
TRIB3	0.183238
POLD4	-0.030602396
SQRDL	0.442833662
ENOPH1	0.434099913
PRUNE	0.162715286
SNX6	-0.411983907
FASTKD5	0.020130128
ELAC2	-0.009732261
ABHD4	0.245253026
MCUR1	0.763798475
RBKS	0.591192484
ATG3	-0.030232787
NARFL	1.048982859
ZDHHC6	0.102770589
ACBD3	-0.089194059
CERK	-0.609296858
NT5DC2	0.312657297
ACD	0.4522174
INTS3	-0.489981622
TRAK2	0.391384304
METRN	-1.773654103
ELOVL6	-0.969837129
TMEM109	-0.344161898
CCDC86	0.764853239
TRAPPC6A	-0.100904554
CHAC1	0.198032647
MBOAT7	-0.598012507
PRR15L	0.084853768
CRELD2	0.193669215
FSD1	-0.008407786
TCTN1	0.136359245
CHMP6	0.536799788
NPEPL1	-0.411026627
FAM57A	0.187452629
NUP85	-0.847716808
TCEAL4	0.065536305
DHDDS	-0.690199852
DENND2D	-0.373475611
FBXO11	0.208561361
CCDC92	0.658996165
COASY	0.588795543
WDR61	0.275849938
TSEN2	0.215219021
PRR7	-0.024583653
ITFG1	-0.044607706
GDPD5	0.627730548
GRWD1	-0.31274426
ARID5B	0.695915163
TUBB6	0.667052805
PSRC1	-0.479456604
ADO	0.265394747
HIST1H2BK	0.104597896
MICALL1	0.420065194
UBE3B	0.62346226
HN1L	-0.244099647
SLC25A46	-0.503337204
COG7	0.647015929
MAPK1IP1L	-0.759175241
TBC1D31	-0.881146193
H2AFV	-0.500567317
RPL39L	-0.844510078
CANT1	-0.822988391
WIPF2	-0.080735683
TICAM1	0.583473921
TXLNA	0.294681728
SPRED2	0.512522459
EML3	0.048050553
TMEM110	-3.912091494
FAM69A	-0.041626334
