Gene_Id	tert-butylhydroquinone_JURKAT_24 h_3 µM
ARPP19	0.255813608
ZNF274	-0.198202319
MTHFD2	-0.454400465
WASF3	-0.435795307
UTP14A	0.729138255
FRS2	-0.738241524
CLPX	-1.524725795
PGRMC1	-0.244548753
MALT1	-0.278324768
CPSF4	0.219802707
BLCAP	0.187142581
TCERG1	-0.059759602
RNPS1	0.212390095
TOMM34	-0.371694941
PDIA5	0.148736775
MLLT11	1.037958264
EBNA1BP2	2.07448566
TMED10	-0.498563141
ASCC3	-0.628557399
SLC27A3	1.987942815
KIF2C	0.259710982
CCDC85B	-0.458117761
TLK2	0.443805844
KDELR2	-0.547525585
RAB31	-0.839657664
B4GAT1	0.065522715
PAPD7	0.485261232
UBE2C	0.156148337
DUSP14	0.108250689
TOPBP1	0.712223589
PRSS23	-1.038085937
PWP1	0.008659363
PKIG	0.48459734
CORO1A	-0.053954452
LSM6	-0.515847832
PSIP1	0.837074086
SLC2A6	0.897318751
NISCH	0.017065257
CHEK2	-0.999233082
PRAF2	-0.095096469
POLG2	-0.101264685
CHP1	0.435685903
PNKP	0.790738553
ECD	-0.584072694
DDX42	0.032971837
TWF2	0.562341034
CASC3	-0.989187345
COG2	2.031421479
ATF5	1.072660767
MTF2	0.544985175
PUF60	0.056858748
RAB11FIP2	-0.10792625
CLSTN1	0.070864595
FOXJ3	-0.303528041
KIAA0907	0.122678101
EPN2	0.470129289
SACM1L	0.484423101
ATF6	-0.64992854
RPIA	1.131158113
RAB21	1.396993935
SPEN	-0.579755396
FBXO21	-0.120973624
RBM34	0.044597447
WDTC1	-0.766386881
XPO7	0.670429945
TBC1D9B	0.87656638
RRP1B	-1.705809534
MYCBP2	0.219149031
CDK19	0.220836014
GPATCH8	0.161406912
MAST2	2.351305068
DCUN1D4	0.025353342
FCHO1	-0.672207683
SNX13	0.42682755
ATP11B	-0.544899791
JMJD6	-0.587172806
RRS1	-1.066029787
RRP12	-0.38434355
SYNE2	-0.082568206
PDS5A	0.377128385
CAMSAP2	-0.200299464
ATMIN	2.72190246
TRIM2	0.562676579
KIAA1033	0.995689318
USP22	1.277560949
WDR7	0.643302768
JADE2	0.442213884
ARHGEF12	-0.248531789
PPP1R13B	-1.93165414
RRP8	-0.432052739
NUDCD3	-1.059840962
SIRT3	1.017390043
SLC35A3	-0.51703535
ICMT	0.167382814
MACF1	-0.614300571
SUZ12	0.36843979
KAT6B	0.489242703
NNT	-0.24488236
ADAT1	-1.120452344
TMEM50A	-1.132995576
KLHDC2	-0.22638011
ACOT9	0.128463455
SSBP2	0.790145397
NUP62	0.293666877
ARFIP2	1.11808157
LSM5	0.258354515
PLA2G15	0.532273918
TMEM2	-0.196906723
ZNF318	0.273163885
FBXO7	0.051872373
SPDEF	0.031039976
BAMBI	0.960914254
BACE2	0.249245629
COG4	-1.247983575
MPC2	0.89733544
CLIC4	-0.244259283
C2CD2	-1.021098733
TIPARP	-0.548556075
TSKU	1.177382916
RNF167	-0.258437254
LRP10	-0.058175087
ZNF451	-0.26243829
SENP6	-0.561322808
RAI14	-0.400785632
KIF1BP	-0.04921177
TES	0.884838954
PHGDH	0.229562432
MYCBP	0.028091967
CHIC2	1.908983119
TIMM9	-0.597941622
AKAP8L	0.317105189
ATP2C1	-0.306628883
TRAPPC3	-0.869332705
ATP5S	0.036112368
TNFRSF21	0.608740032
SESN1	-0.331882134
HTATSF1	0.188930407
TMEM97	0.220878452
BZW2	1.336975992
CHMP4A	0.051688239
GTPBP8	0.541782737
DNAJC15	0.383715987
PACSIN3	0.420197636
RBM15B	0.411155075
HOOK2	0.213040531
SNX11	-0.309540655
TIMM22	0.260666817
NENF	-0.402191691
UBQLN2	-0.412279818
ERO1A	1.742177516
DNTTIP2	0.305000305
PIK3R4	0.272345033
HDGFRP3	-0.020344734
COPS7A	-0.517549038
NSDHL	-1.512441039
HEBP1	0.341009423
MTERF3	0.976554215
AMDHD2	0.555905536
ISOC1	0.46210131
MRPS16	-0.230917148
FIS1	0.284487695
GOLT1B	0.350726843
GLOD4	0.364249744
GMNN	-0.647485554
LAP3	0.82003668
NOSIP	-0.169135008
DERA	0.192103244
SCCPDH	0.901650071
MRPS2	0.639486015
VPS28	-1.723772556
HSD17B11	0.348633021
NUSAP1	-0.073084369
SCAND1	0.020794779
CD320	-0.02607403
NGRN	-1.588278063
SNX7	-0.998316344
ATP6V1D	-0.480337575
ZNF589	0.001155838
PRKAG2	-0.576783821
UBE2J1	-0.692346513
EVL	-0.240109235
HACD3	0.529498965
UFM1	-0.046180218
LSR	0.269235656
DHRS7	1.356275231
CAB39	-1.722191811
ARID4B	0.864521116
NUDT9	-0.481081054
CYCS	-0.851749506
TERF2IP	-0.234571248
GFOD1	-0.313487239
KCTD5	-0.717335224
TMCO1	0.671717372
DHX29	-0.922668517
EXOSC4	0.541721523
DDIT4	0.204373062
PAF1	-0.72382766
P4HTM	0.739163816
SLC35F2	1.132432103
ZNF586	0.20766291
FBXL12	-0.039878007
TEX10	0.155275177
YTHDF1	-0.256135195
TXNL4B	0.667662576
HERC6	-0.131696284
PIH1D1	0.008575475
PPP2R3C	0.923425198
FKBP14	0.033133209
CDCA4	-0.011714607
PLEKHJ1	-0.402374053
HEATR1	-0.356242172
ANO10	0.797231734
UBR7	-1.561355457
FAIM	-0.248652771
ADI1	-0.546301275
ABCF3	0.095643669
ENOSF1	0.130198076
LRRC16A	-0.65674682
ANKRD10	0.295503497
STAP2	0.13793014
IARS2	0.017560154
NUP133	-1.110398665
CNDP2	-0.863959461
FAM63A	0.49291338
KDM3A	-0.624699354
PECR	-0.809962347
EAPP	0.015011556
CISD1	-2.336345803
ZNF395	0.265776843
KLHL9	0.106986165
NPDC1	-1.002459064
TM9SF3	0.997719258
PAK6	-0.83694604
DUSP22	0.383235157
ADCK3	0.968535423
CIAPIN1	0.688221663
PLSCR3	-0.887342989
SCYL3	-1.028105021
LYRM1	0.436643511
ZMIZ1	0.34554667
MCOLN1	0.793096274
THAP11	-0.329788938
ABHD6	-0.864904329
TRIB3	1.235229149
POLD4	-0.451249585
SQRDL	-0.288766652
ENOPH1	-0.39564012
PRUNE	-0.436990291
SNX6	0.664292812
FASTKD5	0.710090965
ELAC2	-1.207976997
ABHD4	-0.021771133
MCUR1	0.456614286
RBKS	-0.208224639
ATG3	-0.276817247
NARFL	0.959571853
ZDHHC6	0.484398067
ACBD3	-0.162697136
CERK	-0.073300105
NT5DC2	0.028647304
ACD	-0.308533683
INTS3	0.629430801
TRAK2	-0.905290604
METRN	0.231844664
ELOVL6	0.997422397
TMEM109	0.217507269
CCDC86	0.749821156
TRAPPC6A	0.863448149
CHAC1	-0.403737843
MBOAT7	0.128779614
PRR15L	-0.388172254
CRELD2	-0.444819734
FSD1	-0.860121056
TCTN1	-0.384887516
CHMP6	1.182836741
NPEPL1	-0.743281454
FAM57A	0.049039423
NUP85	0.146083802
TCEAL4	0.416021414
DHDDS	-1.349795222
DENND2D	0.069442511
FBXO11	0.187923729
CCDC92	-0.727039129
COASY	1.475332737
WDR61	-3.005464554
TSEN2	0.230878562
PRR7	-0.708453745
ITFG1	0.82695885
GDPD5	-0.817468524
GRWD1	0.556309521
ARID5B	-1.991440922
TUBB6	-0.57317704
PSRC1	0.229479119
ADO	0.028116971
HIST1H2BK	-0.221264109
MICALL1	-0.326724887
UBE3B	-1.414876297
HN1L	0.231226027
SLC25A46	1.052061453
COG7	-0.356106952
MAPK1IP1L	-0.086026669
TBC1D31	-0.334170394
H2AFV	-0.514835209
RPL39L	0.638375156
CANT1	-0.235955445
WIPF2	-1.161587119
TICAM1	-0.915019218
TXLNA	0.259671405
SPRED2	0.21445556
EML3	0.471954107
TMEM110	-0.049487017
FAM69A	-0.08709234
