Gene_Id	geldanamycin_HEPG2_24 h_0.37 µM
HERC6	1.01587218
PIH1D1	1.794708535
PPP2R3C	-3.560184002
FKBP14	-4.128266454
CDCA4	-4.981915951
PLEKHJ1	-3.815499067
HEATR1	-0.740632296
ANO10	1.562725186
UBR7	-2.53712213
FAIM	-0.932061821
ADI1	1.246692389
ABCF3	4.941556215
ENOSF1	0.658870161
LRRC16A	-2.113878131
ANKRD10	-2.573542088
STAP2	0.93992798
IARS2	0.402336389
NUP133	3.862083912
CNDP2	0.133531416
FAM63A	2.69181338
KDM3A	-0.754736423
PECR	-0.613295525
EAPP	-0.749749869
CISD1	-1.583409667
ZNF395	-0.912408873
KLHL9	1.796073914
NPDC1	0.960083157
TM9SF3	6.694646597
PAK6	2.301532865
DUSP22	-0.806192078
ADCK3	-0.14623718
CIAPIN1	1.463968456
PLSCR3	0.830216751
SCYL3	-0.890961409
LYRM1	1.046148352
ZMIZ1	-4.680076361
MCOLN1	0.569356192
THAP11	-2.577088594
ABHD6	1.411501527
TRIB3	1.755932033
POLD4	3.476499915
SQRDL	-0.067805886
ENOPH1	1.248327643
PRUNE	0.373649612
SNX6	1.43459785
FASTKD5	-2.983977914
ELAC2	-1.966118157
ABHD4	1.950607955
MCUR1	1.670315266
RBKS	0.874262363
ATG3	1.347254217
NARFL	1.810736656
ZDHHC6	1.119776726
ACBD3	-0.159200631
CERK	0.384844929
NT5DC2	3.263703823
ACD	0.859291136
INTS3	7.254909277
TRAK2	0.945686132
METRN	2.539947271
ELOVL6	0.941744894
TMEM109	-2.550575972
CCDC86	-2.617141247
TRAPPC6A	-1.249340922
CHAC1	-2.436143875
MBOAT7	0.85963273
PRR15L	0.167988896
CRELD2	0.578842297
FSD1	0.70814237
TCTN1	0.12323452
CHMP6	-7.289833784
NPEPL1	0.475439474
FAM57A	3.455801904
NUP85	1.521093249
TCEAL4	3.010929584
DHDDS	0.025859317
DENND2D	1.14757669
FBXO11	2.574986219
CCDC92	2.72405374
COASY	-0.414557889
WDR61	1.900242627
TSEN2	-0.15658778
PRR7	-0.250758467
ITFG1	0.197469383
GDPD5	0.767755337
GRWD1	-1.702689886
ARID5B	-2.896217823
TUBB6	-2.591408908
PSRC1	1.163862586
ADO	-6.51549077
HIST1H2BK	2.088923931
MICALL1	-0.549290732
UBE3B	0.221555412
HN1L	0.408317924
SLC25A46	1.642920062
COG7	-4.347303152
MAPK1IP1L	0.669143841
TBC1D31	3.689511776
H2AFV	0.457075596
RPL39L	-1.080632806
CANT1	0.302562475
WIPF2	-1.90197742
TICAM1	-4.202143073
TXLNA	0.119113043
SPRED2	0.848472893
EML3	-0.150754809
TMEM110	0.508611176
FAM69A	-0.180424996
