Gene_Id	brefeldin-a_HEPG2_6 h_10 µM
LAGE3	4.606001854
AXIN1	0.404756188
CDC45	-1.041052818
FZD1	0.187228113
FZD7	3.601910591
HIST2H2BE	-0.174174204
PIP4K2B	-2.500266075
NCK2	1.433391452
DYRK3	0.38220644
DUSP11	1.578709126
RAE1	-0.240225062
PIK3R3	0.296692967
NIPSNAP1	-3.69716692
IKBKAP	1.786735892
HAT1	-4.342073441
MAPKAPK5	-0.086441934
BHLHE40	-0.931097269
MKNK1	-0.031391889
CASK	-0.267781138
AKR7A2	-3.061363697
RUVBL1	-1.563190699
PSMG1	-0.825058281
BECN1	1.539174557
MBTPS1	-0.062349886
EED	-0.829163074
CTNNAL1	0.015917212
RNMT	4.514390945
PEX11A	0.579296231
CREG1	-0.545112908
INPP4B	3.90579915
IQGAP1	-0.484037369
SOCS2	0.10715282
CFLAR	-0.879665971
CDK5R1	1.412720203
ST3GAL5	-0.411889017
IER3	0.183345497
SQSTM1	0.132208139
SLC5A6	0.177233621
CPNE3	0.872882843
CCNA1	-0.460733086
TIMELESS	-0.729699373
P4HA2	-0.712446511
PLOD3	1.315470696
NOL3	-1.797082543
SLC25A14	-0.730797172
MPZL1	-3.123010397
MAP7	-0.49425441
DNAJA3	-1.00545013
USP14	-0.934572697
MTA1	-0.15454635
PDLIM1	-0.379339725
SMC3	-7.040115833
PRPF4	-0.849449754
CCNB2	-0.87428844
CCNE2	0.438458502
SYNGR3	3.175981998
LPAR2	-1.574159384
ARHGEF2	0.063795909
ZW10	0.62629509
AURKB	0.795559406
VAPB	0.935008407
NOLC1	-1.054981828
UBE2L6	7.530601978
MAPKAPK2	0.238871038
CYTH1	1.274992943
ITGB1BP1	3.411052942
BCL7B	0.003387749
COPB2	0.379819721
ADGRG1	-0.090098664
TM9SF2	0.367213428
MAP4K4	0.744880795
HOMER2	0.504568696
SH3BP5	1.137192845
PIGB	1.401967049
PSMF1	-0.188119203
SPTLC2	-0.084099226
TBPL1	0.882683218
BAG3	0.360296845
POLR1C	6.0934515
SPAG7	0.447418928
FEZ2	-0.629076302
IKBKE	-0.306194007
MTFR1	2.471288443
HS2ST1	-0.216337457
IPO13	0.420797497
VGLL4	-0.25511235
NUP93	-0.41973263
UBE3C	-0.644300461
EDEM1	1.51465559
TRAM2	0.178865328
CEP57	0.8645823
KIAA0100	0.824821889
HERPUD1	0.747761071
KIAA0355	3.282827139
USP6NL	-1.509994268
CCP110	-0.810527682
MLEC	-0.626820087
TATDN2	0.063015848
MRPL19	-0.510248303
SCRN1	-0.300647616
EFCAB14	2.027670383
KEAP1	-0.210684747
MELK	3.217615128
PLEKHM1	1.488608956
C2CD5	-0.190821499
KIAA0753	-1.062260389
C2CD2L	-0.914996803
TOMM70A	-0.391327798
KIAA0196	-0.988677382
KLHL21	0.442337215
ARNT2	2.190191507
FAM20B	-0.489106476
NCAPD2	0.811944425
PAN2	0.507256866
