Gene_Id	mitomycin-c_HCC515_6 h_10 µM
KLHL9	0.187674522
NPDC1	0.391793557
TM9SF3	0.581086636
PAK6	-1.28170684
DUSP22	1.762845665
ADCK3	-0.582897127
CIAPIN1	0.68294102
PLSCR3	1.123208031
SCYL3	0.516312405
LYRM1	-0.631158501
ZMIZ1	0.340796143
MCOLN1	-0.462110795
THAP11	0.543245509
ABHD6	-0.17348212
TRIB3	-0.132802121
POLD4	-1.678272426
SQRDL	-0.409287117
ENOPH1	-0.373760417
PRUNE	-1.009335011
SNX6	-0.149469946
FASTKD5	0.001348794
ELAC2	0.395422578
ABHD4	-0.941744804
MCUR1	0.60979268
RBKS	-0.599043489
ATG3	-0.617260218
NARFL	-0.327942848
ZDHHC6	0.134264767
ACBD3	-0.842524439
CERK	0.744622648
NT5DC2	-0.534827292
ACD	0.444948457
INTS3	-1.787338614
TRAK2	0.983424164
METRN	0.058916248
ELOVL6	-0.218027949
TMEM109	-0.513576925
CCDC86	0.167377748
TRAPPC6A	-1.093317449
CHAC1	-0.9095909
MBOAT7	0.000994533
PRR15L	-1.371642679
CRELD2	0.715507984
FSD1	-1.585227564
TCTN1	-0.692008449
CHMP6	-0.985569537
NPEPL1	-0.531071067
FAM57A	-0.878312349
NUP85	0.955986708
TCEAL4	-0.358921558
DHDDS	1.971957207
DENND2D	0.123301055
FBXO11	-1.11635235
CCDC92	0.173389375
COASY	-1.59634763
WDR61	-0.488453254
TSEN2	-0.070242181
PRR7	-0.072426185
ITFG1	-0.343624171
GDPD5	-0.934571601
GRWD1	-0.029496215
ARID5B	0.084125832
TUBB6	-1.107426524
PSRC1	-0.163438737
ADO	-1.321324468
HIST1H2BK	0.155928269
MICALL1	-0.296464026
UBE3B	-0.065158572
HN1L	-0.83151567
SLC25A46	3.507311583
COG7	-0.640748799
MAPK1IP1L	-0.086540937
TBC1D31	-0.582330137
H2AFV	-0.373983979
RPL39L	-0.59470503
CANT1	-0.473667309
WIPF2	-0.616561003
TICAM1	1.000202537
TXLNA	-0.06533435
SPRED2	0.410836935
EML3	-1.21560201
TMEM110	-0.034879126
FAM69A	0.860856682
