Gene_Id	VU-0418946-1_HEPG2_6 h_10 µM
IKBKE	0.548844934
MTFR1	-0.059183523
HS2ST1	-1.648937106
IPO13	-0.740331352
VGLL4	0.142775834
NUP93	-2.033257246
UBE3C	2.128074408
EDEM1	0.006428067
TRAM2	-2.276698589
CEP57	-0.605315685
KIAA0100	-0.701285362
HERPUD1	-1.400252581
KIAA0355	-0.269981325
USP6NL	-0.496160179
CCP110	-2.861901283
MLEC	0.023210473
TATDN2	-0.674467444
MRPL19	0.516150594
SCRN1	0.486436397
EFCAB14	9.629101753
KEAP1	-0.000115097
MELK	-0.960002244
PLEKHM1	1.122707248
C2CD5	0.001862023
KIAA0753	0.315412939
C2CD2L	0.616898537
TOMM70A	0.444677323
KIAA0196	-0.267579257
KLHL21	1.736666679
ARNT2	0.74842304
FAM20B	-0.00052553
NCAPD2	0.241288811
PAN2	-1.05454421
LPGAT1	-0.376239359
KIF14	-0.547052741
OXSR1	-1.42226088
MVP	-0.180863291
DMTF1	-0.82890296
GNPDA1	-5.309735775
HDAC6	-0.939818323
PARP2	1.163855553
MAMLD1	-0.393707067
DNAJB6	-1.087623715
SMC4	-0.600646555
ABCC5	-0.26647836
ABCB6	-0.16345112
DNM1L	-0.717846394
TSPAN3	-0.042658132
KIF20A	-1.367782593
ARL4C	1.867608905
TRAP1	-0.915554583
G3BP1	-0.974517584
MBNL2	-2.600737095
CEBPZ	-3.090574026
SLC25A13	-3.953959703
SORBS3	-0.83024317
RBM6	-0.173290715
TXNDC9	-0.840307236
TRIM13	0.0937417
TRIB1	4.661005974
MFSD10	-0.977468669
SLC35B1	1.433713317
TIMM17B	2.502292156
AKAP8	-0.166476071
STUB1	-0.316730022
NET1	-0.609381199
SMNDC1	0.119414002
PAK4	-3.515904903
TNIP1	1.348688602
IKZF1	-0.722328782
TMEM5	-0.411912203
HMG20B	2.974271297
MYL9	0.514339268
LYPLA1	-2.112472296
PPIE	-1.262260556
VAV3	-0.467477024
LRRC41	-1.301732183
CRTAP	0.51507628
VAT1	-2.510543346
STK25	-0.026788712
APPBP2	-0.903776348
CHERP	1.032966137
HYOU1	0.040064305
RPP38	-0.063332312
SLC35A1	0.667268634
DRAP1	0.480644166
PAICS	1.063483834
ST6GALNAC2	2.503464699
STAMBP	0.084837578
NPRL2	-0.147861972
IGF2BP2	2.793245792
YKT6	-0.548208654
CGRRF1	-1.993701458
RRAGA	-0.505027473
GNB5	0.92859602
EBP	-0.417179585
CNPY3	0.808087707
YME1L1	-0.125053018
TCFL5	-0.014732748
KDM5B	-1.924143553
POP4	-4.319058418
ARPP19	-3.281525612
ZNF274	-0.827839732
MTHFD2	-2.410404682
WASF3	-1.652606845
UTP14A	0.310323119
FRS2	0.954287767
CLPX	-0.983428419
PGRMC1	0.102431819
MALT1	0.394255817
CPSF4	0.351540804
BLCAP	-1.685572147
TCERG1	-1.312173367
RNPS1	3.05184269
TOMM34	-1.23580277
PDIA5	4.152614117
MLLT11	-0.120423585
EBNA1BP2	0.947287083
TMED10	-1.979268432
ASCC3	0.159130216
SLC27A3	-0.506297588
KIF2C	-0.225799292
CCDC85B	-1.852353334
TLK2	0.356912076
KDELR2	-0.354395568
RAB31	-0.58344686
B4GAT1	-0.078442194
PAPD7	0.53803128
UBE2C	1.910416007
DUSP14	0.324173987
TOPBP1	-0.852747798
PRSS23	-2.468701839
PWP1	-1.285412788
PKIG	-1.180971026
CORO1A	-2.136689901
LSM6	-0.303408831
PSIP1	-0.864373326
SLC2A6	-2.502402544
NISCH	0.319874555
CHEK2	2.437376499
PRAF2	-2.203798294
POLG2	-5.530915737
CHP1	0.362739146
PNKP	1.084813714
ECD	6.100762367
DDX42	8.218305588
TWF2	-0.142889172
CASC3	1.242873669
COG2	3.323779106
ATF5	-1.448522449
MTF2	-2.917555809
PUF60	-1.131937504
RAB11FIP2	-0.315982878
CLSTN1	1.803630829
FOXJ3	-2.108934879
KIAA0907	0.197922423
EPN2	1.509079576
SACM1L	0.374740362
ATF6	-4.401435852
RPIA	0.28550899
RAB21	0.743307233
SPEN	-1.228389621
FBXO21	-0.312260926
RBM34	0.122020781
WDTC1	-0.088218004
XPO7	-2.545855761
TBC1D9B	0.356514961
RRP1B	0.430672735
MYCBP2	-3.399665356
CDK19	-0.287387311
GPATCH8	0.095677912
MAST2	-0.599153042
DCUN1D4	-0.010745049
FCHO1	-0.111295551
SNX13	-0.118936509
ATP11B	0.151935995
JMJD6	2.046694756
RRS1	-1.275953054
RRP12	-0.234822363
SYNE2	0.293414235
PDS5A	0.978968322
CAMSAP2	-2.915997982
ATMIN	0.099924728
TRIM2	0.003636725
KIAA1033	0.265053511
USP22	0.902460217
WDR7	1.254609346
JADE2	1.220613718
ARHGEF12	-1.126255035
PPP1R13B	-1.068055868
RRP8	-0.836131215
NUDCD3	-3.717643738
SIRT3	0.004496425
SLC35A3	-1.476647496
ICMT	3.131687641
MACF1	-1.35605967
SUZ12	-1.617866635
KAT6B	-1.428183079
NNT	-0.659267664
ADAT1	4.593972683
TMEM50A	-0.634550154
KLHDC2	-0.913959265
ACOT9	0.726724863
SSBP2	0.717353404
NUP62	-2.468659401
ARFIP2	-1.48952961
LSM5	-3.843635559
PLA2G15	1.966885924
TMEM2	0.705708206
ZNF318	8.363407135
FBXO7	2.071171761
SPDEF	3.401551962
BAMBI	0.569789052
BACE2	-1.133899927
COG4	-0.473146677
MPC2	-1.064325809
CLIC4	0.406717539
C2CD2	-0.902535558
TIPARP	-0.72363162
TSKU	-0.418203652
RNF167	-1.963592887
LRP10	-2.797277451
ZNF451	-0.630047143
SENP6	-0.819343567
RAI14	-0.090633228
KIF1BP	-0.602045238
TES	0.008802086
PHGDH	-0.525039256
MYCBP	0.157337323
CHIC2	-1.175610542
TIMM9	-1.969908714
