Gene_Id	quercetin_HEPG2_6 h_10 µM
SLC35B1	0.466119081
TIMM17B	0.013972461
AKAP8	0.313497812
STUB1	1.10288763
NET1	0.97071743
SMNDC1	1.010501504
PAK4	-0.239099056
TNIP1	0.488310933
IKZF1	-0.499744475
TMEM5	-0.574693084
HMG20B	4.227322102
MYL9	0.213050336
LYPLA1	-1.726154327
PPIE	-0.520467758
VAV3	-0.231264904
LRRC41	0.763528228
CRTAP	1.854879022
VAT1	-0.703274727
STK25	0.191830307
APPBP2	1.843892336
CHERP	-1.854889512
HYOU1	-0.078454867
RPP38	0.668595433
SLC35A1	1.621872544
DRAP1	-2.58349371
PAICS	0.559324741
ST6GALNAC2	0.049285412
STAMBP	-0.456181705
NPRL2	-0.118497141
IGF2BP2	-0.958690047
YKT6	-1.04648149
CGRRF1	1.655856013
RRAGA	0.380280137
GNB5	0.072726995
EBP	-0.349203229
CNPY3	-0.708982825
YME1L1	0.524785757
TCFL5	-0.227482021
KDM5B	-0.009230226
POP4	-1.024799347
ARPP19	0.587460458
ZNF274	-0.190745801
MTHFD2	-1.805587769
WASF3	0.420628309
UTP14A	1.081191778
FRS2	0.200080901
CLPX	-3.123976946
PGRMC1	-0.603915155
MALT1	0.439139366
CPSF4	-0.285298169
BLCAP	0.598906815
TCERG1	-0.42219612
RNPS1	-0.515656948
TOMM34	-0.722562253
PDIA5	1.243102789
MLLT11	0.981073797
EBNA1BP2	1.078066349
TMED10	-1.923889279
ASCC3	-1.356151342
SLC27A3	-0.885244071
KIF2C	-0.989058018
CCDC85B	-1.379117727
TLK2	-0.147997379
KDELR2	0.783948421
RAB31	-0.620014429
B4GAT1	-0.721712887
PAPD7	0.594272733
UBE2C	0.591984153
DUSP14	0.303604007
TOPBP1	0.065319151
PRSS23	-0.553178728
PWP1	-1.222635508
PKIG	-0.803094327
CORO1A	1.085140586
LSM6	0.825200975
PSIP1	0.122896075
SLC2A6	-0.024486065
NISCH	-1.512443066
CHEK2	0.180232286
PRAF2	0.21205771
POLG2	-2.1408391
CHP1	1.241096497
PNKP	-0.014344722
ECD	2.074100971
DDX42	2.472968102
TWF2	0.979382753
CASC3	-0.919709682
COG2	4.114991665
ATF5	-0.329806328
MTF2	-0.947987556
PUF60	0.835351229
RAB11FIP2	-1.030804873
CLSTN1	0.546318293
FOXJ3	0.308348656
KIAA0907	-1.969447851
EPN2	-0.964915633
SACM1L	-1.610363007
ATF6	-0.436963856
RPIA	0.47973609
RAB21	0.624203622
SPEN	0.084375098
FBXO21	-0.420944631
RBM34	-0.685988724
WDTC1	0.810009122
XPO7	-0.197616875
TBC1D9B	0.838148236
RRP1B	0.052792422
MYCBP2	-1.228384376
CDK19	0.254466206
GPATCH8	-1.007125378
MAST2	1.489742994
DCUN1D4	0.66557765
FCHO1	0.867200613
SNX13	-0.553279281
ATP11B	0.032313876
JMJD6	-1.069687366
RRS1	0.645796955
RRP12	1.069371223
SYNE2	0.640547276
PDS5A	0.51676476
CAMSAP2	-0.57953465
ATMIN	0.547789693
TRIM2	1.145521402
KIAA1033	0.612714887
USP22	0.535247803
WDR7	-1.883660078
JADE2	-0.217828408
ARHGEF12	-0.931084275
PPP1R13B	-2.446310759
RRP8	0.10315796
NUDCD3	-3.721674919
SIRT3	-0.530924976
SLC35A3	-0.759317398
ICMT	-3.130788565
MACF1	1.379595995
SUZ12	0.181112885
KAT6B	-1.263356805
NNT	1.558878899
ADAT1	2.53204155
TMEM50A	-0.798785448
KLHDC2	-0.23188892
ACOT9	1.022742867
SSBP2	-0.74584043
NUP62	-1.39392972
ARFIP2	0.413113177
LSM5	-1.042261481
PLA2G15	0.258507788
TMEM2	-0.001944914
ZNF318	1.302086592
FBXO7	1.48618567
SPDEF	-4.580235004
BAMBI	-0.129233807
BACE2	-0.54614085
COG4	1.218467355
MPC2	-1.127914548
CLIC4	-0.159265846
C2CD2	-1.478939772
TIPARP	-0.692775488
TSKU	-0.211869672
RNF167	-0.621294141
LRP10	-1.697329283
ZNF451	-3.867959499
SENP6	1.493021011
RAI14	-1.689666986
KIF1BP	0.25035134
TES	1.23745203
PHGDH	0.519307256
MYCBP	2.178765535
CHIC2	0.232264727
TIMM9	-0.207547337
AKAP8L	0.727185965
ATP2C1	-0.720967889
TRAPPC3	-0.611950874
ATP5S	-0.564321339
TNFRSF21	0.929204941
SESN1	0.439269811
HTATSF1	2.971465111
TMEM97	0.28979066
BZW2	0.216321945
CHMP4A	1.870663166
GTPBP8	-0.512416303
DNAJC15	-2.439817905
PACSIN3	-0.993572176
RBM15B	2.664160013
HOOK2	0.014883168
SNX11	0.222126991
TIMM22	1.27233696
NENF	-0.697329938
UBQLN2	-0.050681591
ERO1A	0.953483343
DNTTIP2	-0.649045467
PIK3R4	-0.914554775
HDGFRP3	-0.285597742
COPS7A	0.501348138
NSDHL	0.606327772
HEBP1	0.167888135
MTERF3	1.063978314
AMDHD2	-0.039457247
ISOC1	0.461247385
MRPS16	-0.099427983
FIS1	3.53641057
GOLT1B	1.262311935
GLOD4	-1.830568075
GMNN	-0.52937305
LAP3	-1.155790567
NOSIP	-0.710810304
DERA	-1.356622219
SCCPDH	0.410729408
MRPS2	1.134807706
VPS28	-0.00051726
HSD17B11	1.6968503
NUSAP1	1.201629996
SCAND1	0.989902973
CD320	0.943689168
NGRN	0.760828733
SNX7	-1.906359196
ATP6V1D	1.103918552
ZNF589	1.326694965
