Gene_Id	YC-1_HEPG2_6 h_10 µM
HSD17B11	0.483265311
NUSAP1	0.687086523
SCAND1	1.546874404
CD320	-0.138008729
NGRN	-2.52876544
SNX7	1.119964838
ATP6V1D	5.093999863
ZNF589	-0.121342555
PRKAG2	-0.004172027
UBE2J1	-1.281580687
EVL	-2.272156715
HACD3	0.675470948
UFM1	0.200199544
LSR	1.03043282
DHRS7	-0.365478218
CAB39	0.197639644
ARID4B	-2.215937853
NUDT9	0.039030254
CYCS	-0.197131544
TERF2IP	-0.44733727
GFOD1	1.3233881
KCTD5	-2.9795959
TMCO1	-0.449445009
DHX29	-1.515207052
EXOSC4	0.565211236
DDIT4	0.001756102
PAF1	2.018061161
P4HTM	-0.237164646
SLC35F2	-0.798805952
ZNF586	0.469183117
FBXL12	4.349711895
TEX10	1.139637232
YTHDF1	0.370240271
TXNL4B	-0.480751991
HERC6	3.285682917
PIH1D1	0.093774945
PPP2R3C	3.083795071
FKBP14	1.929306746
CDCA4	0.386762053
PLEKHJ1	-0.544436097
HEATR1	-2.618076563
ANO10	0.316964209
UBR7	-4.819813728
FAIM	-1.029178381
ADI1	-0.694195747
ABCF3	-1.275088906
ENOSF1	0.64058888
LRRC16A	-1.684287429
ANKRD10	0.248502329
STAP2	0.655133963
IARS2	0.02152063
NUP133	-0.79640907
CNDP2	-0.498330057
FAM63A	-0.129876316
KDM3A	-0.237951219
PECR	0.275247395
EAPP	0.426073253
CISD1	-0.007659957
ZNF395	0.995769143
KLHL9	-0.361182958
NPDC1	-0.752590358
TM9SF3	-0.312392414
PAK6	-2.223295689
DUSP22	0.858345032
ADCK3	0.799967349
CIAPIN1	0.277799249
PLSCR3	5.757658005
SCYL3	-1.263480663
LYRM1	0.482945591
ZMIZ1	0.458519787
MCOLN1	-0.824946225
THAP11	0.7083202
ABHD6	0.142735064
TRIB3	0.092596725
POLD4	-3.485611439
SQRDL	-0.67184943
ENOPH1	0.432801425
PRUNE	-2.618367672
SNX6	1.534798384
FASTKD5	-0.309306324
ELAC2	0.188208804
ABHD4	-0.981508434
MCUR1	0.016665131
RBKS	-0.775617123
ATG3	1.352582455
NARFL	0.313991666
ZDHHC6	-1.353598714
ACBD3	-0.655713499
CERK	1.138180494
NT5DC2	-0.931532383
ACD	1.070930362
INTS3	0.444610834
TRAK2	1.587730408
METRN	1.002301812
ELOVL6	0.254104495
TMEM109	0.449345917
CCDC86	0.540325761
TRAPPC6A	-1.03068614
CHAC1	0.119461417
MBOAT7	-0.798770964
PRR15L	-2.432464123
CRELD2	-1.368214846
FSD1	-2.519733906
TCTN1	-1.384580374
CHMP6	-1.748436093
NPEPL1	0.215529114
FAM57A	-1.992126703
NUP85	0.09346123
TCEAL4	-0.350274801
DHDDS	2.985614061
DENND2D	-0.659087062
FBXO11	-1.876161337
CCDC92	0.534738064
COASY	-0.22629106
WDR61	-1.107593775
TSEN2	-1.87125051
PRR7	-0.943899393
ITFG1	2.889360189
GDPD5	0.308015019
GRWD1	-0.093885303
ARID5B	-0.489457935
TUBB6	-4.147898674
PSRC1	1.117550135
ADO	-1.705848455
HIST1H2BK	0.450080335
MICALL1	2.073919296
UBE3B	-0.623922467
HN1L	0.277324408
SLC25A46	2.744487286
COG7	-2.693499804
MAPK1IP1L	-0.114267156
TBC1D31	-0.74311018
H2AFV	-0.386019051
RPL39L	1.791880369
CANT1	-1.268295169
WIPF2	-1.863665342
TICAM1	0.68419677
TXLNA	-0.497560263
SPRED2	-1.339273334
EML3	-0.109800532
TMEM110	0.754788458
FAM69A	3.085007191
