Gene_Id	spiperone_HEPG2_24 h_10 µM
NOSIP	-1.870569348
DERA	0.802311659
SCCPDH	1.28080523
MRPS2	1.79408884
VPS28	-0.103240505
HSD17B11	2.949297667
NUSAP1	2.205363512
SCAND1	2.49510932
CD320	-1.292124391
NGRN	-2.50660491
SNX7	-0.934320509
ATP6V1D	0.721393287
ZNF589	-0.114325434
PRKAG2	-3.652452946
UBE2J1	-0.688032568
EVL	-0.106612302
HACD3	-0.618754864
UFM1	1.2483356
LSR	0.469242424
DHRS7	1.968313932
CAB39	0.38657701
ARID4B	4.238626957
NUDT9	-4.818804741
CYCS	-1.671337843
TERF2IP	-1.013244033
GFOD1	1.460457325
KCTD5	2.146400929
TMCO1	1.206353545
DHX29	-1.534015656
EXOSC4	1.216039419
DDIT4	-1.309630275
PAF1	-0.974568248
P4HTM	-0.194216669
SLC35F2	-1.156374216
ZNF586	-1.225446224
FBXL12	-0.007026896
TEX10	3.260882854
YTHDF1	1.619721055
TXNL4B	-0.443817765
HERC6	-2.621161461
PIH1D1	1.637070298
PPP2R3C	1.529416084
FKBP14	1.614408255
CDCA4	-3.186861992
PLEKHJ1	-1.589590311
HEATR1	-2.210493565
ANO10	-0.177427769
UBR7	-1.483178258
FAIM	-2.726586819
ADI1	1.803262711
ABCF3	1.680732489
ENOSF1	-2.235005379
LRRC16A	-1.604952216
ANKRD10	0.218069822
STAP2	1.716673851
IARS2	0.083437085
NUP133	-0.308440208
CNDP2	0.850652456
FAM63A	-1.080235362
KDM3A	-1.158648849
PECR	0.91911751
EAPP	1.21066153
CISD1	-0.666791677
ZNF395	1.783881903
KLHL9	-0.478922963
NPDC1	0.027638644
TM9SF3	-1.080191612
PAK6	-2.563991785
DUSP22	0.957479417
ADCK3	0.670841932
CIAPIN1	2.682826519
PLSCR3	3.487765789
SCYL3	1.050933123
LYRM1	1.376046777
ZMIZ1	-3.383039474
MCOLN1	0.674573302
THAP11	0.332691729
ABHD6	-1.565262794
TRIB3	0.52618885
POLD4	-0.728338003
SQRDL	0.677020013
ENOPH1	0.629403353
PRUNE	0.496110618
SNX6	-0.276166201
FASTKD5	-0.472083032
ELAC2	-0.766385019
ABHD4	1.992594957
MCUR1	-0.319528371
RBKS	-4.970861912
ATG3	1.337330341
NARFL	-0.171134114
ZDHHC6	0.264355838
ACBD3	-4.243254662
CERK	1.094298601
NT5DC2	0.428068876
ACD	1.539987564
INTS3	0.990333617
TRAK2	-0.075976819
METRN	-2.262574196
ELOVL6	0.822527766
TMEM109	0.759605527
CCDC86	-0.181492001
TRAPPC6A	-0.831266165
CHAC1	0.4542225
MBOAT7	1.3987813
PRR15L	-0.492898941
CRELD2	0.220610291
FSD1	-1.981642008
TCTN1	-1.814041495
CHMP6	-1.608632088
NPEPL1	1.401945114
FAM57A	-1.237452388
NUP85	1.405414462
TCEAL4	-2.112292767
DHDDS	2.163179159
DENND2D	1.890329719
FBXO11	4.099682808
CCDC92	0.154672861
COASY	2.756446123
WDR61	-1.863295436
TSEN2	-1.221045256
PRR7	-1.985848784
ITFG1	0.415667474
GDPD5	1.086216927
GRWD1	-2.133060694
ARID5B	-1.652504683
TUBB6	-1.227745652
PSRC1	1.078094602
ADO	-1.936588049
HIST1H2BK	0.372331589
MICALL1	2.323267698
UBE3B	0.332503974
HN1L	-0.700279891
SLC25A46	0.216715083
COG7	-2.88280344
MAPK1IP1L	0.392333299
TBC1D31	0.547367215
H2AFV	-3.163749456
RPL39L	-3.268693924
CANT1	0.469945073
WIPF2	-0.050464243
TICAM1	-1.657984853
TXLNA	-1.905147195
SPRED2	0.194316715
EML3	1.178730249
TMEM110	-0.615307927
FAM69A	1.166721463
