Gene_Id	geldanamycin_HEPG2_24 h_10 µM
UBE2L6	0.49284729
MAPKAPK2	-0.192451619
CYTH1	0.524509527
ITGB1BP1	-1.7265266
BCL7B	2.15700673
COPB2	0.65191289
ADGRG1	-0.58879226
TM9SF2	0.729708897
MAP4K4	-0.338518064
HOMER2	0.626598003
SH3BP5	1.72823051
PIGB	3.351130689
PSMF1	0.496013957
SPTLC2	-0.114532833
TBPL1	-0.941426274
BAG3	-2.116058507
POLR1C	-0.272875362
SPAG7	-1.234598021
FEZ2	-3.677031406
IKBKE	-4.58606354
MTFR1	-0.991373842
HS2ST1	-0.282623195
IPO13	2.035444995
VGLL4	1.16391686
NUP93	2.875444903
UBE3C	1.299232817
EDEM1	0.209703868
TRAM2	0.675386233
CEP57	-0.997557451
KIAA0100	0.757817391
HERPUD1	-4.125100697
KIAA0355	-0.565980058
USP6NL	-0.270409034
CCP110	-0.192668581
MLEC	-0.385235976
TATDN2	-4.289258925
MRPL19	-0.348497882
SCRN1	1.5811532
EFCAB14	1.505674467
KEAP1	-1.61254877
MELK	0.262253191
PLEKHM1	-1.002865211
C2CD5	-2.696948583
KIAA0753	2.092889
C2CD2L	0.930063464
TOMM70A	1.472918834
KIAA0196	-1.999938584
KLHL21	-2.209693242
ARNT2	-0.470138724
FAM20B	1.547016894
NCAPD2	0.615213127
PAN2	2.174614372
LPGAT1	0.950455483
KIF14	3.013384659
OXSR1	2.736260153
MVP	0.218215077
DMTF1	1.993140952
GNPDA1	1.362909307
HDAC6	-2.399814883
PARP2	4.511980602
MAMLD1	-0.245486163
DNAJB6	-4.184194559
SMC4	0.839430856
ABCC5	1.686602394
ABCB6	-0.381648311
DNM1L	0.712710772
TSPAN3	2.361205789
KIF20A	-1.466568251
ARL4C	-0.161618122
TRAP1	-0.583496386
G3BP1	-4.144322507
MBNL2	0.264524739
CEBPZ	-1.082454333
SLC25A13	-1.457298196
SORBS3	-1.924917391
RBM6	-1.997421884
TXNDC9	0.905523536
TRIM13	3.884649602
TRIB1	-1.127442333
MFSD10	-0.269894972
SLC35B1	-2.657942724
TIMM17B	-1.716587129
AKAP8	0.734231684
STUB1	0.588361239
NET1	1.822413361
SMNDC1	-0.535320944
PAK4	-1.950523798
TNIP1	0.91195042
IKZF1	-2.885491983
TMEM5	-2.62668214
HMG20B	0.891128203
MYL9	-2.214715208
LYPLA1	0.138762936
PPIE	0.354815748
VAV3	2.367471042
LRRC41	2.465955039
CRTAP	0.186170453
VAT1	-2.383783095
STK25	-0.999019274
APPBP2	1.345363704
CHERP	1.410128155
HYOU1	1.277336531
RPP38	2.952258798
SLC35A1	-4.001376647
DRAP1	1.102356256
PAICS	-2.998989208
ST6GALNAC2	1.437051888
STAMBP	-2.510418071
NPRL2	0.157499213
IGF2BP2	-0.881224294
YKT6	-1.405142674
CGRRF1	-1.899320786
RRAGA	-0.100001073
GNB5	1.499322297
EBP	1.646086514
CNPY3	-0.587158958
YME1L1	2.397010971
TCFL5	0.085209474
KDM5B	-2.969404331
POP4	0.680733162
ARPP19	-3.127048504
ZNF274	-2.221761289
MTHFD2	-4.616394183
WASF3	0.251047458
UTP14A	0.301797473
