Gene_Id	thapsigargin_HEPG2_6 h_10 µM
CTNNAL1	0.423406899
RNMT	3.509767294
PEX11A	0.915531635
CREG1	-0.748815238
INPP4B	1.051830173
IQGAP1	0.543089628
SOCS2	-1.597025871
CFLAR	-2.461513519
CDK5R1	-1.081365943
ST3GAL5	0.691190004
IER3	-1.307484984
SQSTM1	-0.559090555
SLC5A6	-0.698979557
CPNE3	1.1306777
CCNA1	0.897662282
TIMELESS	-3.898744822
P4HA2	1.062162518
PLOD3	0.313693106
NOL3	1.233179808
SLC25A14	1.969370246
MPZL1	-0.725249767
MAP7	1.090435505
DNAJA3	-0.331566155
USP14	1.868613958
MTA1	2.828663826
PDLIM1	1.503288627
SMC3	1.407582521
PRPF4	-0.135580897
CCNB2	-1.370962501
CCNE2	-2.044673681
SYNGR3	1.770771503
LPAR2	0.406487048
ARHGEF2	0.781444907
ZW10	2.058735847
AURKB	0.295614362
VAPB	0.394548416
NOLC1	0.011465162
UBE2L6	3.890012264
MAPKAPK2	0.861334801
CYTH1	1.627000809
ITGB1BP1	0.992663383
BCL7B	0.651144922
COPB2	0.594291031
ADGRG1	-1.098087072
TM9SF2	0.251257271
MAP4K4	0.737767994
HOMER2	-0.380897522
SH3BP5	1.21307981
PIGB	-1.36072588
PSMF1	1.075202942
SPTLC2	2.044225454
TBPL1	0.545523405
BAG3	0.959369779
POLR1C	6.038347721
SPAG7	0.111251831
FEZ2	-0.857344985
IKBKE	-0.541245759
MTFR1	-0.764340281
HS2ST1	-1.17301774
IPO13	-0.39617312
VGLL4	0.326735973
NUP93	-1.617329597
UBE3C	-5.603667259
EDEM1	-1.138331413
TRAM2	-0.660126686
CEP57	-2.715482473
KIAA0100	-0.230680197
HERPUD1	-0.509453773
KIAA0355	-0.228623539
USP6NL	-0.427174836
CCP110	-3.268819809
MLEC	-0.287592113
TATDN2	-2.0819695
MRPL19	-0.548256338
SCRN1	-1.00694561
EFCAB14	0.8483904
KEAP1	-1.769204021
MELK	-0.163720965
PLEKHM1	0.425418079
C2CD5	-0.454499245
KIAA0753	0.730865836
C2CD2L	1.440993071
TOMM70A	0.795219004
KIAA0196	0.798389018
KLHL21	0.692520738
ARNT2	0.655470371
FAM20B	1.326407194
NCAPD2	-2.089229584
PAN2	-1.279580593
LPGAT1	0.822743893
KIF14	-0.025267303
OXSR1	0.221527666
MVP	0.400640398
DMTF1	-1.161514044
GNPDA1	-2.194005728
HDAC6	-2.160478115
PARP2	-0.391014516
MAMLD1	-0.377761304
DNAJB6	-0.49103421
SMC4	-0.463051707
ABCC5	-0.952393293
ABCB6	-0.235671788
DNM1L	-0.187261879
TSPAN3	1.094546676
KIF20A	-0.213034794
ARL4C	0.857543945
TRAP1	-1.300517917
G3BP1	0.153545529
MBNL2	-1.247908711
CEBPZ	-0.734028697
SLC25A13	-0.567382514
SORBS3	0.653931201
RBM6	0.284105778
TXNDC9	1.116163969
TRIM13	1.636749506
TRIB1	2.272097349
MFSD10	-0.13540256
SLC35B1	0.850310922
TIMM17B	1.835623622
AKAP8	0.969074845
STUB1	-0.904640853
NET1	0.990201116
SMNDC1	1.070316553
PAK4	-0.526489377
TNIP1	0.198002979
IKZF1	0.748781502
TMEM5	-1.627967119
HMG20B	2.216624975
MYL9	-0.231097072
LYPLA1	-1.177199483
PPIE	-0.765221834
VAV3	-0.354643732
LRRC41	0.872941136
CRTAP	-0.425322384
VAT1	0.911078334
STK25	-0.652884603
APPBP2	-0.256512553
CHERP	2.315009594
HYOU1	0.508801103
RPP38	-1.568075895
SLC35A1	-1.1832304
DRAP1	-0.029117808
PAICS	1.47798264
ST6GALNAC2	3.085492611
STAMBP	-1.411800861
NPRL2	-0.546177566
IGF2BP2	2.800725937
YKT6	-0.091993481
CGRRF1	-1.402667999
RRAGA	0.743115723
GNB5	0.645580292
EBP	0.915429473
CNPY3	0.78979826
YME1L1	-0.350800693
TCFL5	-0.6282897
KDM5B	-1.246442199
POP4	-4.122406483
ARPP19	-0.820623875
ZNF274	-0.288704306
MTHFD2	-2.917010069
WASF3	1.566263199
UTP14A	0.426525742
FRS2	1.551312923
CLPX	-4.04451561
PGRMC1	-0.826984882
MALT1	0.263459921
CPSF4	0.427969903
BLCAP	1.907244802
TCERG1	-2.698616743
RNPS1	1.908036232
TOMM34	-0.744862556
PDIA5	0.339606255
MLLT11	0.365723491
EBNA1BP2	0.587637901
TMED10	-1.5749228
ASCC3	0.210817814
SLC27A3	0.002446607
KIF2C	-1.672528863
CCDC85B	-3.273026943
TLK2	0.709275723
KDELR2	1.201977253
RAB31	-0.034461722
B4GAT1	-1.199701786
PAPD7	1.281093836
UBE2C	2.178417683
DUSP14	2.565315723
TOPBP1	-0.311904281
PRSS23	-0.111196302
PWP1	-1.639287233
PKIG	-0.816397488
CORO1A	-0.830480874
LSM6	1.397651911
PSIP1	-1.277181387
SLC2A6	-1.83259964
NISCH	-2.022819996
CHEK2	0.646890581
PRAF2	-0.262364984
POLG2	-3.49412775
CHP1	1.300904036
PNKP	1.125353336
ECD	-2.167989969
DDX42	-0.490469456
TWF2	1.14283061
CASC3	0.114996299
COG2	0.274914682
ATF5	-1.1331774
MTF2	-3.756789684
PUF60	-0.119909853
RAB11FIP2	-1.02003324
CLSTN1	0.59791708
FOXJ3	-1.537169218
KIAA0907	0.185316414
EPN2	0.64090097
SACM1L	-0.695525348
ATF6	-0.463036388
RPIA	0.781634808
RAB21	0.60297823
SPEN	-0.316185266
FBXO21	-0.985930264
RBM34	-0.616438508
WDTC1	1.210065842
XPO7	-2.500040054
TBC1D9B	1.617730975
RRP1B	-0.436551541
MYCBP2	-2.288793564
CDK19	0.92269516
GPATCH8	-0.37602821
MAST2	1.083973169
DCUN1D4	1.070284963
FCHO1	1.16496253
SNX13	-0.380452156
ATP11B	-0.917974412
JMJD6	0.168916047
RRS1	0.376699835
RRP12	-0.56813252
SYNE2	1.569778204
PDS5A	1.332800031
CAMSAP2	-0.791901886
ATMIN	0.849332631
TRIM2	-0.173136473
KIAA1033	0.996014833
USP22	-0.421827495
WDR7	0.792118907
JADE2	-0.388453424
ARHGEF12	0.66429472
PPP1R13B	-1.552382946
RRP8	-2.127762318
NUDCD3	-3.183017015
SIRT3	0.607596517
SLC35A3	0.155475318
ICMT	0.356921434
MACF1	1.112002134
SUZ12	-1.078729272
KAT6B	0.10605225
NNT	-1.436855674
ADAT1	1.533275127
TMEM50A	1.756198645
KLHDC2	0.038217455
ACOT9	1.237543106
SSBP2	0.304336667
NUP62	-1.928130865
ARFIP2	0.73013109
LSM5	-1.864517689
PLA2G15	1.39890635
TMEM2	0.600631952
ZNF318	2.155116081
FBXO7	-0.13055867
SPDEF	-0.117910832
BAMBI	0.305144429
BACE2	-1.676613331
COG4	0.922607899
MPC2	-0.604667425
CLIC4	-0.033395603
C2CD2	-1.256397128
TIPARP	0.789374352
TSKU	0.112576179
RNF167	-1.145089149
LRP10	-2.574566603
ZNF451	-0.117927834
SENP6	0.55556649
RAI14	0.331780225
KIF1BP	0.350519836
TES	1.280702233
PHGDH	2.340393066
MYCBP	2.00782752
CHIC2	-0.341122866
TIMM9	-0.255412281
AKAP8L	0.245134294
ATP2C1	1.276764631
TRAPPC3	0.369165242
ATP5S	-0.793412566
TNFRSF21	-0.346968293
SESN1	-0.208052069
HTATSF1	1.760365963
TMEM97	2.838567972
BZW2	0.488695234
CHMP4A	-0.050526127
GTPBP8	-0.167526484
DNAJC15	-0.154446438
PACSIN3	-0.289863437
RBM15B	1.757004738
HOOK2	-0.588359118
SNX11	-1.271453142
TIMM22	0.513528049
NENF	-2.375950813
UBQLN2	0.853103161
ERO1A	0.066884473
DNTTIP2	-1.182538629
PIK3R4	-1.583529115
HDGFRP3	0.755165815
COPS7A	-1.567409992
NSDHL	0.52783668
HEBP1	-1.41225481
MTERF3	-2.769111156
AMDHD2	0.992624342
ISOC1	1.02587378
MRPS16	0.552520156
FIS1	-0.455282867
GOLT1B	1.272367239
GLOD4	-0.784366906
GMNN	-0.336346149
LAP3	-1.824213028
NOSIP	-2.518596649
DERA	0.153309435
SCCPDH	-0.366037071
MRPS2	1.577891111
VPS28	-1.167843938
HSD17B11	0.659690201
NUSAP1	1.780494452
SCAND1	0.920628965
CD320	-1.976930976
NGRN	-1.066077352
SNX7	0.84604615
ATP6V1D	-0.33075422
ZNF589	0.851045251
PRKAG2	-5.003308773
UBE2J1	0.878497005
EVL	-0.145520166
HACD3	0.449266672
UFM1	0.627004206
LSR	0.171783656
DHRS7	2.996564865
CAB39	0.798020363
ARID4B	-0.373944491
NUDT9	-1.681385279
CYCS	0.124462031
TERF2IP	0.106573522
GFOD1	-0.536004722
KCTD5	0.138181329
TMCO1	0.401444674
DHX29	-1.402753353
EXOSC4	-0.147641957
DDIT4	-0.724633932
PAF1	0.943263233
P4HTM	-0.04404223
SLC35F2	-0.934654713
ZNF586	-1.477923512
FBXL12	0.375914723
TEX10	1.52842617
YTHDF1	1.032685518
TXNL4B	0.541515291
HERC6	0.404584855
PIH1D1	2.590713024
PPP2R3C	2.107792854
FKBP14	1.700910807
CDCA4	-4.032030106
PLEKHJ1	-1.983338118
HEATR1	0.166301563
ANO10	-2.283968925
UBR7	-0.576463342
FAIM	-1.435510397
ADI1	-3.111652851
ABCF3	-1.01134634
ENOSF1	-2.428692341
LRRC16A	-1.449701905
ANKRD10	0.65567255
STAP2	0.699923992
IARS2	-2.935092688
NUP133	-1.549795628
CNDP2	2.69315052
FAM63A	-3.605399132
KDM3A	-1.025488615
PECR	1.405065775
EAPP	-0.12688446
CISD1	-0.688063204
ZNF395	0.891898632
KLHL9	-0.248570412
NPDC1	0.633093655
TM9SF3	-0.513107061
PAK6	-0.31120801
DUSP22	0.388324678
ADCK3	1.021956563
CIAPIN1	0.672953963
PLSCR3	4.130572319
SCYL3	0.226595581
LYRM1	0.050496195
ZMIZ1	0.355848849
MCOLN1	0.999139071
THAP11	1.840490341
ABHD6	0.764683068
TRIB3	1.065448046
POLD4	-2.360101938
SQRDL	-1.296789408
ENOPH1	2.088490486
PRUNE	2.858200312
SNX6	1.327435374
FASTKD5	-0.93340373
ELAC2	2.027911186
ABHD4	-0.262972713
MCUR1	0.598290086
RBKS	-4.125122547
ATG3	-0.364986271
NARFL	0.908349752
ZDHHC6	-0.331989795
ACBD3	-1.66890192
CERK	0.660522699
NT5DC2	0.873615324
ACD	1.447231412
INTS3	-0.240841493
TRAK2	1.556960821
METRN	-1.821129084
ELOVL6	0.700512826
TMEM109	-0.198158026
CCDC86	-0.715018868
TRAPPC6A	0.289603829
CHAC1	-0.115998507
MBOAT7	1.827018023
PRR15L	0.895181656
CRELD2	0.488318384
FSD1	-2.222468376
TCTN1	-0.892577767
CHMP6	-0.619642019
NPEPL1	4.504106522
FAM57A	-0.452518791
NUP85	1.533670902
TCEAL4	-2.532842636
DHDDS	5.482619286
DENND2D	-0.121610403
FBXO11	1.851227641
CCDC92	-0.239122748
COASY	-2.018825054
WDR61	-1.043429732
TSEN2	-1.717602611
PRR7	-1.965306401
ITFG1	-0.455052912
GDPD5	0.766000867
GRWD1	-0.630228698
ARID5B	-1.282663107
TUBB6	-2.297063828
PSRC1	0.378131956
ADO	-1.225930452
HIST1H2BK	0.999624908
MICALL1	2.731833458
UBE3B	-0.508431911
HN1L	0.81938827
SLC25A46	4.411385536
COG7	-0.122287095
MAPK1IP1L	0.480957329
TBC1D31	0.249232829
H2AFV	-0.238871515
RPL39L	-3.214729786
CANT1	-0.422546685
WIPF2	-0.942700982
TICAM1	-0.161389872
TXLNA	-3.848354101
SPRED2	-0.781675518
EML3	-2.24518609
TMEM110	-0.644640028
FAM69A	1.013839126
