Gene_Id	benzo(a)pyrene_VCAP_24 h_10 µM
KIF14	-0.394738317
OXSR1	-0.480526417
MVP	0.057689562
DMTF1	1.53334415
GNPDA1	1.121492982
HDAC6	-0.51867044
PARP2	0.902412474
MAMLD1	-0.022257693
DNAJB6	0.751224637
SMC4	0.040881045
ABCC5	0.34305656
ABCB6	-0.403400779
DNM1L	-0.184351936
TSPAN3	-1.006061554
KIF20A	-0.507134914
ARL4C	-0.352026641
TRAP1	0.52381444
G3BP1	-3.08443594
MBNL2	0.028576385
CEBPZ	-0.449555665
SLC25A13	0.455246449
SORBS3	-0.251454681
RBM6	0.853894472
TXNDC9	0.283833921
TRIM13	0.079407498
TRIB1	-1.822569847
MFSD10	0.360026211
SLC35B1	0.714594781
TIMM17B	0.129392624
AKAP8	0.363200516
STUB1	-0.100597546
NET1	-1.027275085
SMNDC1	0.071839735
PAK4	0.316641062
TNIP1	-0.770051599
IKZF1	-0.493768156
TMEM5	-0.678851664
HMG20B	0.107655913
MYL9	-3.306005478
LYPLA1	-0.297137409
PPIE	0.287445009
VAV3	-0.266382426
LRRC41	-0.164044604
CRTAP	-0.201846734
VAT1	0.714522481
STK25	-0.314682394
APPBP2	1.979396462
CHERP	-1.04150188
HYOU1	0.77578932
RPP38	0.139997005
SLC35A1	0.995792985
DRAP1	0.140314043
PAICS	-0.192544758
ST6GALNAC2	0.197140127
STAMBP	0.549094141
NPRL2	-0.074776098
IGF2BP2	0.718079031
YKT6	0.010424772
CGRRF1	-0.162013531
RRAGA	-0.023763079
GNB5	-0.392204732
EBP	-0.742128253
CNPY3	-1.326610446
YME1L1	-1.560744286
TCFL5	-0.322458088
KDM5B	-0.24070093
POP4	-0.041789547
ARPP19	0.998274565
ZNF274	-1.471084356
MTHFD2	0.351998925
WASF3	0.03972552
UTP14A	0.616670907
FRS2	-0.011418845
CLPX	-0.107318118
PGRMC1	0.527803898
MALT1	0.921410739
CPSF4	-0.609987736
BLCAP	0.067886181
TCERG1	0.905854762
RNPS1	1.156992078
TOMM34	0.071443021
PDIA5	-0.071329318
MLLT11	-0.381926119
EBNA1BP2	1.463146806
TMED10	-0.343993247
ASCC3	0.934739232
SLC27A3	-0.483454555
KIF2C	0.696888804
CCDC85B	0.042367227
TLK2	-0.109988526
KDELR2	-0.235936522
RAB31	0.289995581
B4GAT1	0.657618403
PAPD7	0.014622683
UBE2C	-0.526422322
