source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,sources,references,nsources,nrefs
P48651,Q8WTV0,PTDSS1,SCARB1,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:8999945;HPMR:12016218;HPMR:8999945;LRdb:8999945,10,4
O75093,P18827,SLIT1,SDC1,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:10433822;HPMR:10433822;HPMR:14761655;LRdb:10433822,10,4
P02751,P34741,FN1,SDC2,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:1077281610772810;HPMR:10772816;HPRD:10772816;LRdb:10772816,12,4
P09038,P31431,FGF2,SDC4,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Lit-BM-17;MatrixDB;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:9012653;HPMR:9012653;HPMR:9556568;LRdb:9012653;Lit-BM-17:16982797;Lit-BM-17:20382221;MatrixDB:20382221,12,7
P02787,P02786,TF,TFRC,1,1,0,1,1,0,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=3626,Baccin2019;DIP;Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;IntAct;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:12210842;Baccin2019:16354665;Baccin2019:6268632;Baccin2019:6270680;DIP:14691533;DIP:16271884;DIP:20404192;DIP:21788477;DIP:9546397;HPMR:6270680;HPRD:12210842;HPRD:16354665;HPRD:6268632;IntAct:14691533;IntAct:16271884;IntAct:16354665;IntAct:20404192;IntAct:21788477;IntAct:29302006;LRdb:12210842;LRdb:16354665;LRdb:6268632;LRdb:6270680;Lit-BM-17:11027676;Lit-BM-17:14691533;Lit-BM-17:16271884;Lit-BM-17:16354665;Lit-BM-17:9546397,14,28
P07996,Q08722,THBS1,CD47,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;UniProt_LRdb;Wang;iTALK,HPMR:11980922;HPRD:10397731;HPRD:8550562;HPRD:9169439;LRdb:10397731;LRdb:11980922;LRdb:8550562;LRdb:9169439,10,8
P27797,Q14162,CALR,SCARF1,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:15371419;HPRD:15371419;LRdb:15371419,10,3
P39060,P35052,COL18A1,GPC1,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:11336700;Baccin2019:11336704;HPMR:11336704;HPRD:11336704;LRdb:11336704,12,5
Q92819,O75330,HAS2,HMMR,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:1376732;HPMR:1376732;LRdb:1376732,10,3
P42127,O60291,ASIP,MGRN1,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:12851328,7,1
P01210,Q9NZT2,PENK,OGFR,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:16820893;HPMR:16820893;LRdb:16820893,10,3
Q9NQC3,Q9BZR6,RTN4,RTN4R,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:11201742;Baccin2019:15694322;HPMR:11201742;HPRD:11201742;LRdb:11201742;LRdb:16,12,6
P36897,Q03167,TGFBR1,TGFBR3,1,0,1,1,0,1,,HPMR;NetPath;PhosphoPoint;PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;Wang,HPMR:12809600;NetPath:11323414;PhosphoSite:22427868,7,3
P32004,Q9UIW2,L1CAM,PLXNA1,1,1,0,1,1,0,,HPMR;Wang,HPMR:10520994;HPMR:15121181,2,2
Q14563,Q9UIW2,SEMA3A,PLXNA1,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:10520994;HPMR:10520994;HPMR:15121181;LRdb:10520994,10,4
O15041,Q9Y4D7,SEMA3E,PLXND1,1,1,0,1,1,0,,Baccin2019;CellPhoneDB;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:15550623;CellPhoneDB:22325954;HPMR:15550623;LRdb:15550623;Lit-BM-17:17318185,12,5
Q96MS0,Q9Y6N7,ROBO3,ROBO1,1,0,1,1,0,1,,HPMR,HPMR:16226035,1,1
P13591,Q96MS0,NCAM1,ROBO3,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:16226035;LRdb:16226035,7,2
