X1	X3	X2
Perturbation	inhibits	DUSP22 
Perturbation	inhibits	DUSP26 
Perturbation	inhibits	DUSP7 
Perturbation	inhibits	DUSP8 
Perturbation	inhibits	DUSP9 
Perturbation	inhibits	DVL1P1 
Perturbation	inhibits	DYNLL2 
Perturbation	inhibits	DYRK1A 
Perturbation	inhibits	DYRK3 
Perturbation	inhibits	DZIP3 
Perturbation	inhibits	E2F6 
Perturbation	inhibits	E2F7 
Perturbation	inhibits	EAF1 
Perturbation	inhibits	EAF2 
Perturbation	inhibits	EBI3 
Perturbation	inhibits	ECE1 
Perturbation	inhibits	EDA 
Perturbation	inhibits	EEF1B2 
Perturbation	inhibits	EEF1E1 
Perturbation	inhibits	EFHC1 
Perturbation	inhibits	EFNA1 
Perturbation	inhibits	EFNA2 
Perturbation	inhibits	EFNA3 
Perturbation	inhibits	EFNA4 
Perturbation	inhibits	EFNA5 
Perturbation	inhibits	EFNB2 
Perturbation	inhibits	EFNB3 
Perturbation	inhibits	EHMT2 
Perturbation	inhibits	EID2 
Perturbation	inhibits	EIF1 
Perturbation	inhibits	EIF1AX 
Perturbation	inhibits	EIF2AK1 
Perturbation	inhibits	EIF4A2 
Perturbation	inhibits	EIF4H 
Perturbation	inhibits	EIF6 
Perturbation	inhibits	ELOC 
Perturbation	inhibits	ELP1 
Perturbation	inhibits	ELP2 
Perturbation	inhibits	ENC1 
Perturbation	inhibits	ENPEP 
Perturbation	inhibits	EP400 
Perturbation	inhibits	EPGN 
Perturbation	inhibits	EPS15L1 
Perturbation	inhibits	ERC1 
Perturbation	inhibits	ERCC8 
Perturbation	inhibits	ERGIC1 
Perturbation	inhibits	ERVW_1 
Perturbation	inhibits	ESPN 
Perturbation	inhibits	ETFB 
Perturbation	inhibits	ETV3 
Perturbation	inhibits	EXOC4 
Perturbation	inhibits	EXTL1 
Perturbation	inhibits	EYA3 
Perturbation	inhibits	F12 
Perturbation	inhibits	F7 
Perturbation	inhibits	FAAP24 
Perturbation	inhibits	FAM107A 
Perturbation	inhibits	FAM13A 
Perturbation	inhibits	FAM13B 
Perturbation	inhibits	FAM20C 
Perturbation	inhibits	FANCB 
Perturbation	inhibits	FAP 
Perturbation	inhibits	FASTK 
Perturbation	inhibits	FBLN1 
Perturbation	inhibits	FBXO11 
Perturbation	inhibits	FBXO32 
Perturbation	inhibits	FBXO7 
Perturbation	inhibits	FBXW11 
Perturbation	inhibits	FBXW5 
Perturbation	inhibits	FBXW8 
Perturbation	inhibits	FCER2 
Perturbation	inhibits	FCGR3A 
Perturbation	inhibits	FERMT1 
Perturbation	inhibits	FERMT2 
Perturbation	inhibits	FERMT3 
Perturbation	inhibits	FFAR1 
Perturbation	inhibits	FFAR2 
Perturbation	inhibits	FFAR3 
Perturbation	inhibits	FFAR4 
Perturbation	inhibits	FGD1 
Perturbation	inhibits	FGD2 
Perturbation	inhibits	FGD3 
Perturbation	inhibits	FGD4 
Perturbation	inhibits	FGD5 
Perturbation	inhibits	FGF11 
Perturbation	inhibits	FGF12 
Perturbation	inhibits	FGF13 
Perturbation	inhibits	FGF14 
Perturbation	inhibits	FGF16 
Perturbation	inhibits	FGF17 
Perturbation	inhibits	FGF18 
Perturbation	inhibits	FGF19 
Perturbation	inhibits	FGF20 
Perturbation	inhibits	FGF21 
Perturbation	inhibits	FGF22 
Perturbation	inhibits	FGF4 
Perturbation	inhibits	FGF5 
Perturbation	inhibits	FGF6 
Perturbation	inhibits	FGF7 
Perturbation	inhibits	FGF9 
Perturbation	inhibits	FGFBP1 
Perturbation	inhibits	FGFR1OP 
Perturbation	inhibits	FHIT 
Perturbation	inhibits	FHL5 
Perturbation	inhibits	FIP1L1 
Perturbation	inhibits	FIS1 
Perturbation	inhibits	FIZ1 
Perturbation	inhibits	FKBP15 
Perturbation	inhibits	FKBP1A 
Perturbation	inhibits	FLT3LG 
Perturbation	inhibits	FMOD 
Perturbation	inhibits	FMR1 
Perturbation	inhibits	FNBP1L 
Perturbation	inhibits	FNTB 
Perturbation	inhibits	FOXC1 
Perturbation	inhibits	FOXH1 
Perturbation	inhibits	FRAT2 
Perturbation	inhibits	FRK 
Perturbation	inhibits	FRZB 
Perturbation	inhibits	FSHB 
Perturbation	inhibits	FSTL3 
Perturbation	inhibits	GABPB1 
Perturbation	inhibits	GABPB2 
Perturbation	inhibits	GAD1 
Perturbation	inhibits	GADD45B 
Perturbation	inhibits	GADD45G 
Perturbation	inhibits	GADD45GIP1 
Perturbation	inhibits	GAK 
