pr_gene_id,pr_gene_symbol
2022,ENG
9467,SH3BP5
9779,TBC1D5
2631,GBAS
9690,UBE3C
79888,LPCAT1
949,SCARB1
3852,KRT5
9604,RNF14
51097,SCCPDH
6603,SMARCD2
8933,FAM127A
10276,NET1
8615,USO1
3066,HDAC2
5564,PRKAB1
9913,SUPT7L
4072,EPCAM
4738,NEDD8
3315,HSPB1
2202,EFEMP1
23429,RYBP
3988,LIPA
664,BNIP3
822,CAPG
6455,SH3GL1
994,CDC25B
23300,ATMIN
51663,ZFR
5552,SRGN
5327,PLAT
9208,LRRFIP1
26017,FAM32A
2664,GDI1
10953,TOMM34
51035,UBXN1
6059,ABCE1
9019,MPZL1
5445,PON2
5527,PPP2R5C
25820,ARIH1
1048,CEACAM5
1727,CYB5R3
80344,DCAF11
3597,IL13RA1
10447,FAM3C
6241,RRM2
3615,IMPDH2
369,ARAF
84722,PSRC1
1163,CKS1B
7319,UBE2A
10327,AKR1A1
7528,YY1
7384,UQCRC1
10217,CTDSPL
1857,DVL3
6192,RPS4Y1
10160,FARP1
2935,GSPT1
80347,COASY
11231,SEC63
55186,SLC25A36
6574,SLC20A1
2790,GNG10
10412,NSA2
10549,PRDX4
4299,AFF1
1604,CD55
8502,PKP4
4175,MCM6
2108,ETFA
10489,LRRC41
5119,CHMP1A
80335,WDR82
8672,EIF4G3
8099,CDK2AP1
10769,PLK2
1362,CPD
3074,HEXB
5045,FURIN
10576,CCT2
29889,GNL2
832,CAPZB
214,ALCAM
10519,CIB1
10095,ARPC1B
892,CCNC
8443,GNPAT
4660,PPP1R12B
23077,MYCBP2
10193,RNF41
2180,ACSL1
23064,SETX
4720,NDUFS2
10180,RBM6
5236,PGM1
4678,NASP
523,ATP6V1A
4651,MYO10
9812,KIAA0141
5536,PPP5C
6251,RSU1
5069,PAPPA
1956,EGFR
9897,KIAA0196
9969,MED13
1389,CREBL2
3799,KIF5B
9987,HNRNPDL
9643,MORF4L2
2131,EXT1
23013,SPEN
6480,ST6GAL1
6993,DYNLT1
4700,NDUFA6
10449,ACAA2
5782,PTPN12
4811,NID1
11344,TWF2
7082,TJP1
2132,EXT2
23645,PPP1R15A
4232,MEST
2052,EPHX1
4057,LTF
10314,LANCL1
10209,EIF1
230,ALDOC
1942,EFNA1
439,ASNA1
6392,SDHD
25829,TMEM184B
6169,RPL38
10295,BCKDK
9821,RB1CC1
6422,SFRP1
9354,UBE4A
5927,KDM5A
9158,FIBP
3035,HARS
6611,SMS
2909,ARHGAP35
23466,CBX6
9202,ZMYM4
26064,RAI14
224,ALDH3A2
9646,CTR9
6400,SEL1L
8500,PPFIA1
3949,LDLR
3419,IDH3A
6385,SDC4
3191,HNRNPL
10133,OPTN
5360,PLTP
329,BIRC2
4706,NDUFAB1
8533,COPS3
22906,TRAK1
9592,IER2
6397,SEC14L1
9414,TJP2
4599,MX1
1514,CTSL
25800,SLC39A6
10975,UQCR11
23568,ARL2BP
54623,PAF1
332,BIRC5
706,TSPO
9972,NUP153
5899,RALB
23476,BRD4
3476,IGBP1
2802,GOLGA3
4171,MCM2
5184,PEPD
23647,ARFIP2
1349,COX7B
6522,SLC4A2
7450,VWF
6643,SNX2
26155,NOC2L
5977,DPF2
392,ARHGAP1
8895,CPNE3
27243,CHMP2A
10226,PLIN3
25,ABL1
66008,TRAK2
8899,PRPF4B
9870,AREL1
8780,RIOK3
25937,WWTR1
10120,ACTR1B
10771,ZMYND11
7965,AIMP2
1198,CLK3
10920,COPS8
4061,LY6E
3475,IFRD1
5831,PYCR1
4739,NEDD9
10422,UBAC1
