	0
546	LJP006_BT20_3H:O02
547	LJP006_BT20_3H:O03
548	LJP006_BT20_3H:O04
549	LJP006_BT20_3H:O05
550	LJP006_BT20_3H:O06
551	LJP006_HA1E_24H:C19
552	LJP006_HA1E_24H:C20
553	LJP006_HA1E_24H:C21
554	LJP006_HA1E_24H:C22
555	LJP006_HA1E_24H:C23
556	LJP006_HA1E_24H:C24
557	LJP006_HA1E_24H:G13
558	LJP006_HA1E_24H:G14
559	LJP006_HA1E_24H:G15
560	LJP006_HA1E_24H:G16
561	LJP006_HA1E_24H:G17
562	LJP006_HA1E_24H:G18
563	LJP006_HA1E_24H:K07
564	LJP006_HA1E_24H:K08
565	LJP006_HA1E_24H:K09
566	LJP006_HA1E_24H:K10
567	LJP006_HA1E_24H:K11
568	LJP006_HA1E_24H:K12
569	LJP006_HA1E_24H:O01
570	LJP006_HA1E_24H:O02
571	LJP006_HA1E_24H:O03
572	LJP006_HA1E_24H:O04
573	LJP006_HA1E_24H:O05
574	LJP006_HA1E_24H:O06
575	LJP006_HCC515_24H:C19
576	LJP006_HCC515_24H:C20
577	LJP006_HCC515_24H:C21
578	LJP006_HCC515_24H:C22
579	LJP006_HCC515_24H:C23
580	LJP006_HCC515_24H:C24
581	LJP006_HCC515_24H:G13
582	LJP006_HCC515_24H:G14
583	LJP006_HCC515_24H:G15
584	LJP006_HCC515_24H:G16
585	LJP006_HCC515_24H:G17
586	LJP006_HCC515_24H:G18
587	LJP006_HCC515_24H:K07
588	LJP006_HCC515_24H:K08
589	LJP006_HCC515_24H:K09
590	LJP006_HCC515_24H:K10
591	LJP006_HCC515_24H:K11
592	LJP006_HCC515_24H:K12
593	LJP006_HCC515_24H:O01
594	LJP006_HCC515_24H:O02
595	LJP006_HCC515_24H:O03
596	LJP006_HCC515_24H:O04
597	LJP006_HCC515_24H:O05
598	LJP006_HCC515_24H:O06
599	LJP006_HEPG2_24H:C19
600	LJP006_HEPG2_24H:C20
601	LJP006_HEPG2_24H:C21
602	LJP006_HEPG2_24H:C22
603	LJP006_HEPG2_24H:C23
604	LJP006_HEPG2_24H:C24
605	LJP006_HEPG2_24H:G13
606	LJP006_HEPG2_24H:G14
607	LJP006_HEPG2_24H:G15
608	LJP006_HEPG2_24H:G16
609	LJP006_HEPG2_24H:G17
610	LJP006_HEPG2_24H:G18
611	LJP006_HEPG2_24H:K07
612	LJP006_HEPG2_24H:K08
613	LJP006_HEPG2_24H:K09
614	LJP006_HEPG2_24H:K10
615	LJP006_HEPG2_24H:K11
616	LJP006_HEPG2_24H:K12
617	LJP006_HEPG2_24H:O01
618	LJP006_HEPG2_24H:O02
619	LJP006_HEPG2_24H:O03
620	LJP006_HEPG2_24H:O04
621	LJP006_HEPG2_24H:O05
622	LJP006_HEPG2_24H:O06
623	LJP006_HME1_24H:C19
624	LJP006_HME1_24H:C20
625	LJP006_HME1_24H:C21
626	LJP006_HME1_24H:C22
627	LJP006_HME1_24H:G14
628	LJP006_HME1_24H:G15
629	LJP006_HME1_24H:G16
630	LJP006_HME1_24H:G17
631	LJP006_HME1_24H:G18
632	LJP006_HME1_24H:K07
633	LJP006_HME1_24H:K08
634	LJP006_HME1_24H:K09
635	LJP006_HME1_24H:K10
636	LJP006_HME1_24H:K11
637	LJP006_HME1_24H:K12
638	LJP006_HME1_24H:O01
639	LJP006_HME1_24H:O02
640	LJP006_HME1_24H:O03
641	LJP006_HME1_24H:O04
642	LJP006_HME1_24H:O05
643	LJP006_HME1_24H:O06
644	LJP006_HME1_24H:C23
645	LJP006_HME1_24H:C24
646	LJP006_HME1_24H:G13
647	LJP006_HME1_3H:C19
648	LJP006_HME1_3H:C20
649	LJP006_HME1_3H:C21
650	LJP006_HME1_3H:C22
651	LJP006_HME1_3H:C23
652	LJP006_HME1_3H:C24
653	LJP006_HME1_3H:G13
654	LJP006_HME1_3H:G14
655	LJP006_HME1_3H:G15
656	LJP006_HME1_3H:G16
657	LJP006_HME1_3H:G17
658	LJP006_HME1_3H:G18
659	LJP006_HME1_3H:K07
660	LJP006_HME1_3H:K08
661	LJP006_HME1_3H:K09
662	LJP006_HME1_3H:K10
663	LJP006_HME1_3H:K11
664	LJP006_HME1_3H:K12
665	LJP006_HME1_3H:O01
666	LJP006_HME1_3H:O02
667	LJP006_HME1_3H:O03
668	LJP006_HME1_3H:O04
669	LJP006_HME1_3H:O05
670	LJP006_HME1_3H:O06
671	LJP006_HS578T_24H:C20
672	LJP006_HS578T_24H:C21
673	LJP006_HS578T_24H:C22
674	LJP006_HS578T_24H:C23
675	LJP006_HS578T_24H:C24
676	LJP006_HS578T_24H:G13
677	LJP006_HS578T_24H:G14
678	LJP006_HS578T_24H:G15
679	LJP006_HS578T_24H:G16
680	LJP006_HS578T_24H:G17
681	LJP006_HS578T_24H:G18
682	LJP006_HS578T_24H:K07
683	LJP006_HS578T_24H:K08
684	LJP006_HS578T_24H:K09
685	LJP006_HS578T_24H:K10
686	LJP006_HS578T_24H:K11
