	0
5564	CPC003_HCC515_6H:BRD-K81418486:10
5565	CPC003_HCC515_6H:BRD-K92093830-003-05-0:10
5566	CPC003_PC3_24H:BRD-A19500257:10
5567	CPC003_PC3_24H:BRD-A41112154-001-02-1:10
5568	CPC003_PC3_24H:BRD-A68009927-003-02-9:10
5569	CPC003_PC3_24H:BRD-A77722753-003-02-5:10
5570	CPC003_PC3_24H:BRD-K03600606-001-02-3:10
5571	CPC003_PC3_24H:BRD-K36007650-300-02-3:10
5572	CPC003_PC3_24H:BRD-K81418486:10
5573	CPC003_PC3_24H:BRD-K92093830-003-05-0:10
5574	CPC003_PC3_6H:BRD-A19500257:10
5575	CPC003_PC3_6H:BRD-A41112154-001-02-1:10
5576	CPC003_PC3_6H:BRD-A68009927-003-02-9:10
5577	CPC003_PC3_6H:BRD-A77722753-003-02-5:10
5578	CPC003_PC3_6H:BRD-K03600606-001-02-3:10
5579	CPC003_PC3_6H:BRD-K36007650-300-02-3:10
5580	CPC003_PC3_6H:BRD-K81418486:10
5581	CPC003_PC3_6H:BRD-K92093830-003-05-0:10
5582	CPC003_VCAP_24H:BRD-A19500257:10
5583	CPC003_VCAP_24H:BRD-A41112154-001-02-1:10
5584	CPC003_VCAP_24H:BRD-A77722753-003-02-5:10
5585	CPC003_VCAP_24H:BRD-K03600606-001-02-3:10
5586	CPC003_VCAP_24H:BRD-K36007650-300-02-3:10
5587	CPC003_VCAP_24H:BRD-K81418486:10
5588	CPC003_VCAP_6H:BRD-A19500257:10
5589	CPC003_VCAP_6H:BRD-A41112154-001-02-1:10
5590	CPC003_VCAP_6H:BRD-A68009927-003-02-9:10
5591	CPC003_VCAP_6H:BRD-A77722753-003-02-5:10
5592	CPC003_VCAP_6H:BRD-K03600606-001-02-3:10
5593	CPC003_VCAP_6H:BRD-K36007650-300-02-3:10
5594	CPC003_VCAP_6H:BRD-K81418486:10
5595	CPC003_VCAP_6H:BRD-K92093830-003-05-0:10
5596	CPC004_A375_6H:BRD-A17819071-001-02-1:10
5597	CPC004_A375_6H:BRD-A19500257:10
5598	CPC004_A375_6H:BRD-A28746609-001-05-7:10
5599	CPC004_A375_6H:BRD-A48237631-001-03-0:10
5600	CPC004_A375_6H:BRD-A52530684-001-01-1:10
5601	CPC004_A375_6H:BRD-A91699651-316-06-7:10
5602	CPC004_A375_6H:BRD-K12539581-001-14-6:10
5603	CPC004_A375_6H:BRD-K29673530-001-03-9:10
5604	CPC004_A375_6H:BRD-K43389675-001-01-3:10
5605	CPC004_A375_6H:BRD-K55468218-001-16-2:10
5606	CPC004_A375_6H:BRD-K81418486:10
5607	CPC004_A375_6H:BRD-K91290917-336-03-8:10
5608	CPC004_HA1E_24H:BRD-A17819071-001-02-1:10
5609	CPC004_HA1E_24H:BRD-A19500257:10
5610	CPC004_HA1E_24H:BRD-A28746609-001-05-7:10
5611	CPC004_HA1E_24H:BRD-A48237631-001-03-0:10
5612	CPC004_HA1E_24H:BRD-A91699651-316-06-7:10
5613	CPC004_HA1E_24H:BRD-K12539581-001-14-6:10
5614	CPC004_HA1E_24H:BRD-K29673530-001-03-9:10
5615	CPC004_HA1E_24H:BRD-K55468218-001-16-2:10
5616	CPC004_HA1E_24H:BRD-K81418486:10
5617	CPC004_HA1E_24H:BRD-K91290917-336-03-8:10
5618	CPC004_HA1E_6H:BRD-A17819071-001-02-1:10
5619	CPC004_HA1E_6H:BRD-A19500257:10
5620	CPC004_HA1E_6H:BRD-A28746609-001-05-7:10
5621	CPC004_HA1E_6H:BRD-A48237631-001-03-0:10
5622	CPC004_HA1E_6H:BRD-A52530684-001-01-1:10
5623	CPC004_HA1E_6H:BRD-A91699651-316-06-7:10
5624	CPC004_HA1E_6H:BRD-K12539581-001-14-6:10
5625	CPC004_HA1E_6H:BRD-K29673530-001-03-9:10
5626	CPC004_HA1E_6H:BRD-K43389675-001-01-3:10
5627	CPC004_HA1E_6H:BRD-K55468218-001-16-2:10
5628	CPC004_HA1E_6H:BRD-K81418486:10
5629	CPC004_HA1E_6H:BRD-K91290917-336-03-8:10
5630	CPC004_HCC515_24H:BRD-A17819071-001-02-1:10
5631	CPC004_HCC515_24H:BRD-A19500257:10
5632	CPC004_HCC515_24H:BRD-A28746609-001-05-7:10
5633	CPC004_HCC515_24H:BRD-A48237631-001-03-0:10
5634	CPC004_HCC515_24H:BRD-A52530684-001-01-1:10
5635	CPC004_HCC515_24H:BRD-A91699651-316-06-7:10
5636	CPC004_HCC515_24H:BRD-K12539581-001-14-6:10
5637	CPC004_HCC515_24H:BRD-K29673530-001-03-9:10
5638	CPC004_HCC515_24H:BRD-K43389675-001-01-3:10
5639	CPC004_HCC515_24H:BRD-K55468218-001-16-2:10
5640	CPC004_HCC515_24H:BRD-K81418486:10
5641	CPC004_HCC515_24H:BRD-K91290917-336-03-8:10
5642	CPC004_HCC515_6H:BRD-A17819071-001-02-1:10
5643	CPC004_HCC515_6H:BRD-A19500257:10
5644	CPC004_HCC515_6H:BRD-A28746609-001-05-7:10
5645	CPC004_HCC515_6H:BRD-A48237631-001-03-0:10
5646	CPC004_HCC515_6H:BRD-A52530684-001-01-1:10
5647	CPC004_HCC515_6H:BRD-A91699651-316-06-7:10
5648	CPC004_HCC515_6H:BRD-K12539581-001-14-6:10
5649	CPC004_HCC515_6H:BRD-K29673530-001-03-9:10
5650	CPC004_HCC515_6H:BRD-K43389675-001-01-3:10
5651	CPC004_HCC515_6H:BRD-K55468218-001-16-2:10
5652	CPC004_HCC515_6H:BRD-K81418486:10
5653	CPC004_HCC515_6H:BRD-K91290917-336-03-8:10
5654	CPC004_HEPG2_6H:BRD-A17819071-001-02-1:10
5655	CPC004_HEPG2_6H:BRD-A19500257:10
5656	CPC004_HEPG2_6H:BRD-A28746609-001-05-7:10
5657	CPC004_HEPG2_6H:BRD-A48237631-001-03-0:10
5658	CPC004_HEPG2_6H:BRD-A52530684-001-01-1:10
5659	CPC004_HEPG2_6H:BRD-A91699651-316-06-7:10
5660	CPC004_HEPG2_6H:BRD-K12539581-001-14-6:10
5661	CPC004_HEPG2_6H:BRD-K29673530-001-03-9:10
5662	CPC004_HEPG2_6H:BRD-K43389675-001-01-3:10
5663	CPC004_HEPG2_6H:BRD-K55468218-001-16-2:10
5664	CPC004_HEPG2_6H:BRD-K81418486:10
5665	CPC004_HEPG2_6H:BRD-K91290917-336-03-8:10
5666	CPC004_HT29_6H:BRD-A17819071-001-02-1:10
5667	CPC004_HT29_6H:BRD-A19500257:10
5668	CPC004_HT29_6H:BRD-A28746609-001-05-7:10
5669	CPC004_HT29_6H:BRD-A48237631-001-03-0:10
5670	CPC004_HT29_6H:BRD-A52530684-001-01-1:10
5671	CPC004_HT29_6H:BRD-A91699651-316-06-7:10
5672	CPC004_HT29_6H:BRD-K12539581-001-14-6:10
5673	CPC004_HT29_6H:BRD-K29673530-001-03-9:10
5674	CPC004_HT29_6H:BRD-K43389675-001-01-3:10
5675	CPC004_HT29_6H:BRD-K55468218-001-16-2:10
5676	CPC004_HT29_6H:BRD-K81418486:10
5677	CPC004_HT29_6H:BRD-K91290917-336-03-8:10
5678	CPC004_MCF7_6H:BRD-A17819071-001-02-1:10
5679	CPC004_MCF7_6H:BRD-A19500257:10
5680	CPC004_MCF7_6H:BRD-A28746609-001-05-7:10
5681	CPC004_MCF7_6H:BRD-A48237631-001-03-0:10
5682	CPC004_MCF7_6H:BRD-A52530684-001-01-1:10
5683	CPC004_MCF7_6H:BRD-A91699651-316-06-7:10
